epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,133.424,0.86275,1.24379,0.62786,0.00364,0.50515,0.8884,0.87857,0.9158,0.76077,0.88807,0.85773,0.88247,0.64608,0.70814,1.28742,0.5238,0.00443,0,0.00106118,0.00106118,0.00106118
28,138.178,0.86742,1.18737,0.61823,0.00363,0.4566,0.88612,0.89447,0.91557,0.77437,0.88856,0.87681,0.88418,0.6662,0.7114,1.34786,0.53586,0.00436,0,0.00104703,0.00104703,0.00104703
29,142.877,0.85277,1.19054,0.61498,0.00352,0.46898,0.89118,0.89646,0.91844,0.767,0.90087,0.8526,0.88071,0.6352,0.71818,1.3061,0.52951,0.00436,0,0.00103288,0.00103288,0.00103288
30,147.634,0.84824,1.12601,0.60355,0.00359,0.46495,0.86891,0.90268,0.9189,0.76021,0.87828,0.87317,0.88615,0.66996,0.73172,1.26841,0.5337,0.00449,0,0.00101873,0.00101873,0.00101873
31,152.178,0.84798,1.11217,0.59791,0.00373,0.47615,0.87822,0.90531,0.92137,0.76836,0.88456,0.86205,0.89023,0.66105,0.72757,1.29221,0.51229,0.0046,0,0.00100459,0.00100459,0.00100459
32,156.898,0.82345,1.17862,0.59475,0.00353,0.48777,0.8965,0.9011,0.92293,0.76766,0.89986,0.88698,0.89292,0.64343,0.72977,1.26626,0.50938,0.00478,0,0.00099044,0.00099044,0.00099044
33,161.563,0.81647,1.13031,0.58878,0.00349,0.47332,0.88737,0.90332,0.92626,0.77234,0.89098,0.87663,0.89155,0.65676,0.7074,1.29272,0.49525,0.00441,0,0.000976293,0.000976293,0.000976293
34,166.272,0.80685,1.12037,0.58739,0.00349,0.44426,0.90975,0.90592,0.92331,0.77939,0.90422,0.88974,0.88766,0.6705,0.69905,1.21349,0.48607,0.0047,0,0.000962146,0.000962146,0.000962146
35,170.971,0.79692,1.14814,0.57837,0.00318,0.45628,0.88983,0.91308,0.92866,0.76577,0.89213,0.87617,0.88867,0.6623,0.76243,1.23348,0.48243,0.00453,0,0.000947999,0.000947999,0.000947999
36,175.586,0.79926,1.13721,0.57245,0.00328,0.45959,0.87718,0.89385,0.92299,0.77982,0.87281,0.87512,0.88405,0.63743,0.66912,1.24241,0.50453,0.00398,0,0.000933851,0.000933851,0.000933851
37,180.249,0.78764,1.13256,0.57145,0.00335,0.4867,0.88892,0.88161,0.92374,0.77776,0.88827,0.86521,0.88744,0.65541,0.70017,1.33737,0.49989,0.00435,0,0.000919704,0.000919704,0.000919704
38,184.819,0.7886,1.11226,0.56961,0.00329,0.45821,0.86349,0.90116,0.91738,0.79184,0.8528,0.87478,0.88246,0.6365,0.65223,1.31956,0.50906,0.0039,0,0.000905557,0.000905557,0.000905557
39,189.386,0.80696,1.11823,0.5828,0.00337,0.4622,0.87963,0.90494,0.91527,0.76868,0.88664,0.87534,0.89143,0.6578,0.74827,1.2301,0.50636,0.00505,0,0.00089141,0.00089141,0.00089141
40,193.865,0.78838,1.08993,0.55853,0.00332,0.46734,0.90812,0.8832,0.92547,0.78402,0.90484,0.8687,0.89879,0.67697,0.68552,1.18168,0.49446,0.00447,0,0.000877263,0.000877263,0.000877263
41,198.52,0.75705,1.09961,0.55545,0.00309,0.43492,0.89199,0.90385,0.92731,0.78803,0.89616,0.86927,0.89809,0.67349,0.65629,1.13889,0.47526,0.00383,0,0.000863116,0.000863116,0.000863116
42,203.17,0.7668,1.10756,0.55518,0.00306,0.44206,0.88688,0.91251,0.92847,0.79728,0.87253,0.8942,0.89112,0.6578,0.66345,1.15103,0.48975,0.00391,0,0.000848969,0.000848969,0.000848969
43,207.801,0.78126,1.11228,0.57181,0.00318,0.45759,0.90454,0.91332,0.92678,0.7989,0.9136,0.90306,0.90613,0.65871,0.67313,1.17441,0.48815,0.00431,0,0.000834822,0.000834822,0.000834822
44,212.645,0.76405,1.10771,0.5586,0.00321,0.49498,0.90024,0.91855,0.92451,0.79487,0.90673,0.9062,0.90134,0.67843,0.62137,1.17955,0.48263,0.00373,0,0.000820675,0.000820675,0.000820675
45,217.543,0.74664,1.09073,0.5484,0.00296,0.50556,0.90737,0.91047,0.92868,0.80319,0.90363,0.88726,0.89944,0.67576,0.62763,1.13828,0.47472,0.00374,0,0.000806528,0.000806528,0.000806528
46,222.108,0.73821,1.06526,0.53284,0.00302,0.41636,0.9124,0.90695,0.935,0.79948,0.91053,0.89467,0.90373,0.65186,0.70342,1.13863,0.46618,0.00422,0,0.00079238,0.00079238,0.00079238
47,226.759,0.74795,1.05756,0.5355,0.00301,0.41806,0.88845,0.9184,0.92984,0.80223,0.90444,0.88785,0.89812,0.67209,0.60592,1.18156,0.46426,0.0037,0,0.000778233,0.000778233,0.000778233
48,231.336,0.7607,1.09723,0.54127,0.00319,0.46204,0.89858,0.90212,0.92831,0.79615,0.89659,0.88392,0.89744,0.66494,0.62438,1.16481,0.46871,0.00391,0,0.000764086,0.000764086,0.000764086
49,235.991,0.73649,1.08066,0.53677,0.00303,0.42666,0.88591,0.90553,0.92671,0.80656,0.89458,0.88168,0.90122,0.66857,0.62932,1.14698,0.47451,0.00395,0,0.000749939,0.000749939,0.000749939
50,240.753,0.72214,1.05085,0.52215,0.00294,0.43015,0.88196,0.89155,0.92504,0.78337,0.88869,0.86366,0.89709,0.64963,0.67001,1.14959,0.4938,0.00441,0,0.000735792,0.000735792,0.000735792
51,245.332,0.75294,1.06434,0.53042,0.0033,0.47312,0.86775,0.91708,0.92238,0.7879,0.88641,0.88432,0.89624,0.67597,0.67482,1.12595,0.48255,0.00397,0,0.000721645,0.000721645,0.000721645
52,250.048,0.77001,1.08969,0.53682,0.00308,0.44642,0.89763,0.92107,0.92813,0.79327,0.88901,0.89205,0.89152,0.66423,0.66281,1.25424,0.47424,0.00402,0,0.000707498,0.000707498,0.000707498
53,254.685,0.73612,1.08589,0.52342,0.00278,0.42653,0.89545,0.91261,0.92519,0.80636,0.88896,0.89012,0.89074,0.65359,0.60657,1.24905,0.4828,0.00359,0,0.000693351,0.000693351,0.000693351
54,259.25,0.71532,1.03931,0.51535,0.00284,0.44226,0.87752,0.90826,0.92469,0.79677,0.87477,0.88512,0.89231,0.63658,0.61051,1.19044,0.47208,0.00374,0,0.000679204,0.000679204,0.000679204
55,263.848,0.71785,1.03337,0.52387,0.00282,0.47225,0.88498,0.91939,0.92819,0.79463,0.87472,0.90705,0.89913,0.65787,0.63101,1.16197,0.47243,0.00382,0,0.000665057,0.000665057,0.000665057
56,268.566,0.74374,1.08586,0.53768,0.00296,0.43944,0.8901,0.89935,0.92768,0.80622,0.8837,0.88444,0.89951,0.65771,0.60745,1.20258,0.46624,0.00362,0,0.000650909,0.000650909,0.000650909
57,273.564,0.71527,1.1008,0.52358,0.00277,0.43309,0.89482,0.91438,0.93209,0.81725,0.89307,0.89725,0.90275,0.65766,0.59766,1.26986,0.4514,0.00352,0,0.000636762,0.000636762,0.000636762
58,278.201,0.72119,1.07766,0.52359,0.00292,0.46086,0.91327,0.90482,0.93506,0.82551,0.89756,0.87896,0.89867,0.67442,0.57007,1.30546,0.44285,0.0033,0,0.000622615,0.000622615,0.000622615
59,282.9,0.69994,1.05492,0.51953,0.00287,0.44458,0.90893,0.91608,0.93188,0.81781,0.89243,0.89242,0.90007,0.6795,0.59674,1.22182,0.45315,0.0035,0,0.000608468,0.000608468,0.000608468
60,287.594,0.68096,1.00721,0.50522,0.00283,0.43953,0.89214,0.92444,0.9313,0.809,0.88513,0.90815,0.90098,0.66252,0.59156,1.13102,0.44321,0.00355,0,0.000594321,0.000594321,0.000594321
61,292.463,0.70515,1.05417,0.51868,0.00288,0.45278,0.89292,0.91304,0.93327,0.81453,0.89619,0.8899,0.90507,0.65999,0.59835,1.1793,0.4447,0.00375,0,0.000580174,0.000580174,0.000580174
62,297.027,0.70173,1.03327,0.51359,0.00288,0.4149,0.89604,0.91508,0.93663,0.8054,0.91317,0.87988,0.90997,0.65918,0.64235,1.19428,0.43528,0.00412,0,0.000566027,0.000566027,0.000566027
63,301.63,0.70474,0.98948,0.51154,0.00294,0.44675,0.9021,0.91179,0.93523,0.81386,0.89098,0.89841,0.90851,0.68489,0.60725,1.13156,0.46323,0.0039,0,0.00055188,0.00055188,0.00055188
64,306.17,0.6813,0.99411,0.50518,0.00281,0.42391,0.90381,0.90857,0.93283,0.80924,0.89946,0.89596,0.90203,0.66983,0.61621,1.13322,0.45487,0.00386,0,0.000537733,0.000537733,0.000537733
65,310.814,0.70173,1.03858,0.50731,0.00277,0.42171,0.90169,0.91463,0.9318,0.80172,0.88871,0.89847,0.90061,0.66782,0.66959,1.178,0.47282,0.00386,0,0.000523586,0.000523586,0.000523586
66,315.457,0.69681,1.00016,0.5061,0.00267,0.42704,0.91063,0.91562,0.93201,0.82231,0.90007,0.89777,0.9024,0.67856,0.58062,1.17439,0.44361,0.00357,0,0.000509438,0.000509438,0.000509438
67,320.1,0.691,1.00214,0.50852,0.00277,0.42165,0.91857,0.91197,0.93207,0.8215,0.9101,0.90305,0.90631,0.68742,0.57552,1.1724,0.4391,0.00355,0,0.000495291,0.000495291,0.000495291
68,324.77,0.69597,1.01426,0.5112,0.00279,0.40711,0.91265,0.90374,0.93626,0.82652,0.89823,0.8856,0.90765,0.6741,0.57511,1.16863,0.42669,0.00353,0,0.000481144,0.000481144,0.000481144
69,329.485,0.67234,1.02444,0.50312,0.00271,0.44223,0.91517,0.90107,0.93234,0.82289,0.906,0.88776,0.90389,0.66019,0.56558,1.14978,0.43757,0.00332,0,0.000466997,0.000466997,0.000466997
70,334.142,0.66597,0.98267,0.48971,0.00271,0.39987,0.89944,0.90262,0.9351,0.82983,0.88287,0.88882,0.90454,0.66912,0.5493,1.16944,0.44159,0.00335,0,0.00045285,0.00045285,0.00045285
71,338.713,0.66303,1.00012,0.49766,0.0027,0.43165,0.8983,0.92928,0.93901,0.82342,0.88534,0.9035,0.91083,0.65879,0.60461,1.2062,0.43238,0.0034,0,0.000438703,0.000438703,0.000438703
72,343.345,0.67104,0.99067,0.49243,0.0026,0.41402,0.89707,0.92281,0.93067,0.82131,0.88748,0.90983,0.90479,0.662,0.56696,1.16536,0.43128,0.00331,0,0.000424556,0.000424556,0.000424556
73,347.924,0.66697,0.99458,0.49421,0.00264,0.41148,0.9069,0.91898,0.93396,0.81998,0.89468,0.89907,0.90728,0.681,0.57906,1.15684,0.43517,0.00355,0,0.000410409,0.000410409,0.000410409
74,352.66,0.66633,1.02665,0.5015,0.00263,0.42116,0.90498,0.91803,0.93424,0.82831,0.89316,0.90505,0.90579,0.68959,0.57334,1.15429,0.43674,0.00361,0,0.000396262,0.000396262,0.000396262
75,357.354,0.66023,0.99354,0.49194,0.00265,0.37429,0.90397,0.91423,0.93174,0.82887,0.89048,0.89867,0.90128,0.66555,0.56686,1.13778,0.44173,0.00349,0,0.000382115,0.000382115,0.000382115
76,361.979,0.66874,1.02206,0.50034,0.00267,0.42809,0.89413,0.91401,0.93265,0.82236,0.88399,0.88615,0.90009,0.66926,0.55531,1.13375,0.43591,0.00324,0,0.000367967,0.000367967,0.000367967
77,366.701,0.67115,1.03635,0.49519,0.00263,0.40414,0.90699,0.91233,0.93511,0.83721,0.90706,0.89054,0.90307,0.67446,0.54899,1.20952,0.4279,0.00321,0,0.00035382,0.00035382,0.00035382
78,371.335,0.64058,0.97991,0.48009,0.0025,0.3962,0.89178,0.92412,0.93529,0.83804,0.87977,0.8985,0.90171,0.6663,0.53805,1.15169,0.41609,0.00316,0,0.000339673,0.000339673,0.000339673
79,375.951,0.64699,0.99004,0.48169,0.00257,0.41125,0.90148,0.923,0.93312,0.82881,0.88824,0.89902,0.8977,0.65944,0.55689,1.16019,0.43008,0.0032,0,0.000325526,0.000325526,0.000325526
80,380.629,0.64546,0.98827,0.48391,0.00244,0.39718,0.88623,0.92714,0.93239,0.8292,0.86841,0.9073,0.89999,0.67715,0.5524,1.13919,0.4326,0.00348,0,0.000311379,0.000311379,0.000311379
81,385.221,0.64792,0.98902,0.47771,0.00255,0.4215,0.9146,0.92637,0.93806,0.83469,0.89446,0.9071,0.90176,0.66944,0.54966,1.13844,0.41794,0.00346,0,0.000297232,0.000297232,0.000297232
