2026-06-05  22:38:29,A1,Empty,1116,1500
2026-06-05  22:38:29,A2,Empty,1256,1800
2026-06-05  22:38:29,A3, Detected,1886,1500
2026-06-05  22:38:31,A1,Empty,1473,1500
2026-06-05  22:38:31,A2,Empty,1475,1800
2026-06-05  22:38:31,A3, Detected,6529,1500
2026-06-05  22:38:33,A1,Empty,1072,1500
2026-06-05  22:38:33,A2,Empty,1454,1800
2026-06-05  22:38:33,A3, Detected,6387,1500
2026-06-05  22:38:35,A1,Empty,1072,1500
2026-06-05  22:38:35,A2,Empty,1432,1800
2026-06-05  22:38:35,A3, Detected,6865,1500
2026-06-05  22:38:37,A1,Empty,1073,1500
2026-06-05  22:38:37,A2,Empty,1354,1800
2026-06-05  22:38:37,A3, Detected,6768,1500
2026-06-05  22:38:39,A1,Empty,1071,1500
2026-06-05  22:38:39,A2,Empty,1610,1800
2026-06-05  22:38:39,A3, Detected,6599,1500
2026-06-05  22:38:41,A1,Empty,1072,1500
2026-06-05  22:38:41,A2,Empty,1611,1800
2026-06-05  22:38:41,A3, Detected,6838,1500
2026-06-05  22:38:43,A1,Empty,1072,1500
2026-06-05  22:38:43,A2,Empty,1615,1800
2026-06-05  22:38:43,A3, Detected,6471,1500
2026-06-05  22:44:14,A1,Empty,1072,1500
2026-06-05  22:44:14,A2,Empty,1616,1800
2026-06-05  22:44:14,A3, Detected,6670,1500
2026-06-05  22:44:16,A1,Empty,1072,1500
2026-06-05  22:44:16,A2,Empty,1433,1800
2026-06-05  22:44:16,A3, Detected,6780,1500
2026-06-05  22:44:18,A1,Empty,1072,1500
2026-06-05  22:44:18,A2,Empty,1631,1800
2026-06-05  22:44:18,A3, Detected,6427,1500
2026-06-05  22:44:20,A1,Empty,1072,1500
2026-06-05  22:44:20,A2,Empty,1600,1800
2026-06-05  22:44:20,A3, Detected,6671,1500
2026-06-05  22:44:22,A1,Empty,1072,1500
2026-06-05  22:44:22,A2,Empty,1479,1800
2026-06-05  22:44:22,A3, Detected,6490,1500
2026-06-05  22:44:24,A1,Empty,1072,1500
2026-06-05  22:44:24,A2,Empty,1598,1800
2026-06-05  22:44:24,A3, Detected,6784,1500
2026-06-05  22:44:26,A1,Empty,1072,1500
2026-06-05  22:44:26,A2,Empty,1608,1800
2026-06-05  22:44:26,A3, Detected,6505,1500
2026-06-05  22:44:28,A1,Empty,1072,1500
2026-06-05  22:44:28,A2,Empty,1613,1800
2026-06-05  22:44:28,A3, Detected,6705,1500
2026-06-05  22:44:30,A1,Empty,1072,1500
2026-06-05  22:44:30,A2,Empty,1496,1800
2026-06-05  22:44:30,A3, Detected,6654,1500
2026-06-05  22:44:32,A1,Empty,1072,1500
2026-06-05  22:44:32,A2,Empty,1598,1800
2026-06-05  22:44:32,A3, Detected,6579,1500
2026-06-05  22:44:34,A1,Empty,1072,1500
2026-06-05  22:44:34,A2,Empty,1590,1800
2026-06-05  22:44:34,A3, Detected,6620,1500
2026-06-05  22:44:36,A1,Empty,1072,1500
2026-06-05  22:44:36,A2,Empty,1599,1800
2026-06-05  22:44:36,A3, Detected,6920,1500
2026-06-05  23:33:46,A1,Empty,1072,1500
2026-06-05  23:33:46,A2,Empty,1430,1800
2026-06-05  23:33:46,A3, Detected,5979,1500
2026-06-05  23:33:48,A1,Empty,1072,1500
2026-06-05  23:33:48,A2,Empty,1631,1800
2026-06-05  23:33:48,A3, Detected,5996,1500
2026-06-05  23:33:50,A1,Empty,1072,1500
2026-06-05  23:33:50,A2,Empty,1394,1800
2026-06-05  23:33:50,A3, Detected,6086,1500
2026-06-05  23:33:52,A1,Empty,1072,1500
2026-06-05  23:33:52,A2,Empty,1556,1800
2026-06-05  23:33:52,A3, Detected,6101,1500
2026-06-05  23:33:54,A1,Empty,1072,1500
2026-06-05  23:33:54,A2,Empty,1596,1800
2026-06-05  23:33:54,A3, Detected,5952,1500
2026-06-05  23:33:56,A1,Empty,1072,1500
2026-06-05  23:33:56,A2,Empty,1536,1800
2026-06-05  23:33:56,A3, Detected,6180,1500
2026-06-05  23:33:58,A1,Empty,1072,1500
2026-06-05  23:33:58,A2,Empty,1530,1800
2026-06-05  23:33:58,A3, Detected,6096,1500
2026-06-05  23:34:00,A1,Empty,1072,1500
2026-06-05  23:34:00,A2,Empty,1428,1800
2026-06-05  23:34:00,A3, Detected,6021,1500
2026-06-05  23:34:02,A1,Empty,1072,1500
2026-06-05  23:34:02,A2,Empty,1513,1800
2026-06-05  23:34:02,A3, Detected,6063,1500
2026-06-05  23:34:04,A1,Empty,1072,1500
2026-06-05  23:34:04,A2,Empty,1602,1800
2026-06-05  23:34:04,A3, Detected,6116,1500
2026-06-05  23:34:06,A1,Empty,1072,1500
2026-06-05  23:34:06,A2,Empty,1605,1800
2026-06-05  23:34:06,A3, Detected,6018,1500
2026-06-05  23:34:08,A1,Empty,1071,1500
2026-06-05  23:34:08,A2,Empty,1542,1800
2026-06-05  23:34:08,A3, Detected,6014,1500
2026-06-05  23:34:10,A1,Empty,1075,1500
2026-06-05  23:34:10,A2,Empty,1248,1800
