2026-06-06  22:34:00,A3, Detected,Empty,1135,1500,STATUS CHANGED
2026-06-06  22:34:00,A3,Empty, Detected,1880,1500,STATUS CHANGED
2026-06-06  22:34:03,A3, Detected,Empty,916,1500,STATUS CHANGED
2026-06-06  22:34:04,A3,Empty, Detected,1778,1500,STATUS CHANGED
2026-06-06  22:34:04,A1,Empty, Detected,1757,1500,STATUS CHANGED
2026-06-06  22:34:04,A2,Empty, Detected,2046,1800,STATUS CHANGED
2026-06-06  22:34:04,A1, Detected,Empty,1126,1500,STATUS CHANGED
2026-06-06  22:34:04,A2, Detected,Empty,1593,1800,STATUS CHANGED
2026-06-06  22:34:04,A3, Detected,Empty,1419,1500,STATUS CHANGED
2026-06-06  22:34:04,A3,Empty, Detected,1682,1500,STATUS CHANGED
2026-06-06  22:34:04,A1,Empty, Detected,1653,1500,STATUS CHANGED
2026-06-06  22:34:04,A2,Empty, Detected,1884,1800,STATUS CHANGED
2026-06-06  22:34:04,A1, Detected,Empty,1258,1500,STATUS CHANGED
2026-06-06  22:34:05,A2, Detected,Empty,1297,1800,STATUS CHANGED
2026-06-06  22:34:05,A1,Empty, Detected,1531,1500,STATUS CHANGED
2026-06-06  22:34:05,A1, Detected,Empty,1022,1500,STATUS CHANGED
2026-06-06  22:34:05,A3, Detected,Empty,0,1500,STATUS CHANGED
2026-06-06  22:34:06,A3,Empty, Detected,1928,1500,STATUS CHANGED
2026-06-06  22:34:06,A3, Detected,Empty,1498,1500,STATUS CHANGED
2026-06-06  22:34:06,A3,Empty, Detected,1523,1500,STATUS CHANGED
2026-06-06  22:34:06,A3, Detected,Empty,1318,1500,STATUS CHANGED
2026-06-06  22:34:06,A3,Empty, Detected,1873,1500,STATUS CHANGED
2026-06-06  22:34:06,A3, Detected,Empty,1179,1500,STATUS CHANGED
2026-06-06  22:34:06,A3,Empty, Detected,1536,1500,STATUS CHANGED
2026-06-06  22:34:06,A3, Detected,Empty,1387,1500,STATUS CHANGED
2026-06-06  22:34:07,A1,Empty, Detected,1722,1500,STATUS CHANGED
2026-06-06  22:34:07,A3,Empty, Detected,2115,1500,STATUS CHANGED
2026-06-06  22:34:07,A2,Empty, Detected,3026,1800,STATUS CHANGED
2026-06-06  22:34:07,A1, Detected,Empty,1412,1500,STATUS CHANGED
2026-06-06  22:34:07,A2, Detected,Empty,1172,1800,STATUS CHANGED
2026-06-06  22:34:07,A1,Empty, Detected,1967,1500,STATUS CHANGED
2026-06-06  22:34:07,A1, Detected,Empty,1367,1500,STATUS CHANGED
2026-06-06  22:34:07,A3, Detected,Empty,847,1500,STATUS CHANGED
2026-06-06  22:34:07,A3,Empty, Detected,2906,1500,STATUS CHANGED
2026-06-06  22:34:07,A1,Empty, Detected,1983,1500,STATUS CHANGED
2026-06-06  22:34:07,A1, Detected,Empty,1208,1500,STATUS CHANGED
2026-06-06  22:34:07,A3, Detected,Empty,756,1500,STATUS CHANGED
2026-06-06  22:34:07,A3,Empty, Detected,1931,1500,STATUS CHANGED
2026-06-06  22:34:08,A2,Empty, Detected,2205,1800,STATUS CHANGED
2026-06-06  22:34:08,A1,Empty, Detected,1603,1500,STATUS CHANGED
2026-06-06  22:34:08,A1, Detected,Empty,1237,1500,STATUS CHANGED
2026-06-06  22:34:08,A2, Detected,Empty,1677,1800,STATUS CHANGED
2026-06-06  22:34:08,A1,Empty, Detected,1672,1500,STATUS CHANGED
2026-06-06  22:34:08,A1, Detected,Empty,1304,1500,STATUS CHANGED
2026-06-06  22:34:08,A3, Detected,Empty,1287,1500,STATUS CHANGED
2026-06-06  22:34:08,A3,Empty, Detected,1917,1500,STATUS CHANGED
2026-06-06  22:34:08,A1,Empty, Detected,1528,1500,STATUS CHANGED
2026-06-06  22:34:08,A2,Empty, Detected,2617,1800,STATUS CHANGED
2026-06-06  22:34:09,A1, Detected,Empty,1239,1500,STATUS CHANGED
2026-06-06  22:34:09,A2, Detected,Empty,1504,1800,STATUS CHANGED
2026-06-06  22:34:09,A1,Empty, Detected,1526,1500,STATUS CHANGED
2026-06-06  22:34:09,A1, Detected,Empty,1252,1500,STATUS CHANGED
2026-06-06  22:34:09,A1,Empty, Detected,2057,1500,STATUS CHANGED
2026-06-06  22:34:09,A2,Empty, Detected,4024,1800,STATUS CHANGED
2026-06-06  22:34:09,A1, Detected,Empty,1401,1500,STATUS CHANGED
2026-06-06  22:34:09,A2, Detected,Empty,1566,1800,STATUS CHANGED
2026-06-06  22:34:09,A1,Empty, Detected,1871,1500,STATUS CHANGED
2026-06-06  22:34:09,A1, Detected,Empty,1236,1500,STATUS CHANGED
2026-06-06  22:34:09,A1,Empty, Detected,1606,1500,STATUS CHANGED
2026-06-06  22:34:09,A1, Detected,Empty,1300,1500,STATUS CHANGED
2026-06-06  22:34:09,A1,Empty, Detected,1576,1500,STATUS CHANGED
2026-06-06  22:34:09,A1, Detected,Empty,1307,1500,STATUS CHANGED
2026-06-06  22:34:10,A1,Empty, Detected,1821,1500,STATUS CHANGED
2026-06-06  22:34:10,A1, Detected,Empty,1177,1500,STATUS CHANGED
2026-06-06  22:34:10,A1,Empty, Detected,1728,1500,STATUS CHANGED
2026-06-06  22:34:10,A1, Detected,Empty,1357,1500,STATUS CHANGED
2026-06-06  22:34:10,A1,Empty, Detected,2349,1500,STATUS CHANGED
2026-06-06  22:34:10,A1, Detected,Empty,1441,1500,STATUS CHANGED
2026-06-06  22:34:10,A1,Empty, Detected,2005,1500,STATUS CHANGED
2026-06-06  22:34:11,A1, Detected,Empty,1347,1500,STATUS CHANGED
2026-06-06  22:34:11,A1,Empty, Detected,2413,1500,STATUS CHANGED
2026-06-06  22:34:11,A1, Detected,Empty,1436,1500,STATUS CHANGED
2026-06-06  22:34:11,A1,Empty, Detected,1617,1500,STATUS CHANGED
2026-06-06  22:34:12,A1, Detected,Empty,1219,1500,STATUS CHANGED
2026-06-06  22:34:12,A3, Detected,Empty,1452,1500,STATUS CHANGED
2026-06-06  22:34:12,A3,Empty, Detected,1533,1500,STATUS CHANGED
2026-06-06  22:34:12,A3, Detected,Empty,1330,1500,STATUS CHANGED
2026-06-06  22:34:12,A3,Empty, Detected,1579,1500,STATUS CHANGED
2026-06-06  22:34:12,A1,Empty, Detected,1537,1500,STATUS CHANGED
2026-06-06  22:34:12,A2,Empty, Detected,2187,1800,STATUS CHANGED
2026-06-06  22:34:12,A1, Detected,Empty,1457,1500,STATUS CHANGED
2026-06-06  22:34:12,A1,Empty, Detected,1530,1500,STATUS CHANGED
2026-06-06  22:34:13,A1, Detected,Empty,1400,1500,STATUS CHANGED
2026-06-06  22:34:13,A2, Detected,Empty,1497,1800,STATUS CHANGED
2026-06-06  22:34:13,A1,Empty, Detected,1572,1500,STATUS CHANGED
2026-06-06  22:34:13,A1, Detected,Empty,1227,1500,STATUS CHANGED
2026-06-06  22:34:13,A2,Empty, Detected,2154,1800,STATUS CHANGED
2026-06-06  22:34:13,A1,Empty, Detected,2350,1500,STATUS CHANGED
